po_id,sku,item,quantity,unit,lot_code,unit_price_usd
PO-5061,KAL-BCH-12,kale,24,cases,,14.2
PO-5062,CEL-BCH-30,celery,12,cases,,13.4
PO-5063,SPI-BCH-24,spinach,48,cases,,16.5
PO-5063,STR-CLAM-12,strawberries,60,cases,,22.1
PO-5064,HRB-MIX-12,herbs,30,cases,,26.0
PO-5065,POT-RUS-50,potatoes,48,cases,,10.8
PO-5066,CRN-EAR-48,corn,30,cases,,16.0
PO-5067,CEL-BCH-30,celery,60,cases,,13.4
PO-5068,AVO-CS-48,avocado,20,cases,,31.0
PO-5069,ROM-ICE-24,romaine,50,cases,,18.4
PO-5070,POT-RUS-50,potatoes,48,cases,,10.8
PO-5071,KAL-BCH-12,kale,50,cases,,14.2
PO-5071,HRB-MIX-12,herbs,40,cases,,26.0
PO-5072,AVO-CS-48,avocado,24,cases,,31.0
PO-5073,CAR-BAG-50,carrots,12,cases,,12.0
PO-5074,LET-BIB-12,lettuce,24,cases,,15.7
PO-5074,STR-CLAM-12,strawberries,24,cases,,22.1
PO-5075,ROM-ICE-24,romaine,20,cases,,18.4
PO-5076,KAL-BCH-12,kale,24,cases,,14.2
PO-5076,STR-CLAM-12,strawberries,12,cases,,22.1
PO-5077,KAL-BCH-12,kale,16,cases,,14.2
PO-5078,TOM-VINE-25,tomatoes,12,cases,,19.8
PO-5079,RAD-BCH-24,radish,16,cases,,11.9
PO-5080,BRO-CRN-20,broccoli,40,cases,,17.6
PO-5081,CAB-GRN-20,cabbage,16,cases,,12.9
PO-5082,GBN-CTN-20,green beans,48,cases,,18.2
PO-5083,KAL-BCH-12,kale,20,cases,,14.2
PO-5084,KAL-BCH-12,kale,20,cases,,14.2
PO-5085,KAL-BCH-12,kale,48,cases,,14.2
PO-5085,LMN-CTN-40,lemons,30,cases,,20.4
PO-5086,ROM-ICE-24,romaine,60,cases,,18.4
PO-5087,LIM-CTN-40,limes,60,cases,,19.1
PO-5088,SPI-BCH-24,spinach,30,cases,,16.5
PO-5088,KAL-BCH-12,kale,20,cases,,14.2
PO-5089,ROM-ICE-24,romaine,60,cases,,18.4
PO-5090,LET-BIB-12,lettuce,16,cases,,15.7
PO-5091,CUC-CTN-24,cucumbers,50,cases,,14.8
PO-5092,ROM-ICE-24,romaine,50,cases,,18.4
PO-5093,STR-CLAM-12,strawberries,24,cases,,22.1
PO-5093,SPI-BCH-24,spinach,16,cases,,16.5
PO-5094,BRO-CRN-20,broccoli,40,cases,,17.6
PO-5095,ASP-BCH-11,asparagus,48,cases,,29.0
PO-5096,KAL-BCH-12,kale,50,cases,,14.2
PO-5096,RAD-BCH-24,radish,16,cases,,11.9
PO-5097,ASP-BCH-11,asparagus,40,cases,,29.0
PO-5097,KAL-BCH-12,kale,20,cases,,14.2
PO-5098,LMN-CTN-40,lemons,20,cases,,20.4
PO-5099,CUC-CTN-24,cucumbers,20,cases,,14.8
PO-5100,GBN-CTN-20,green beans,40,cases,,18.2
PO-5101,SPI-BCH-24,spinach,12,cases,,16.5
PO-5102,SPI-BCH-24,spinach,16,cases,,16.5
PO-5103,TOM-VINE-25,tomatoes,24,cases,,19.8
PO-5104,CAU-HD-12,cauliflower,40,cases,,17.0
PO-5104,ICE-HD-24,iceberg,20,cases,,15.1
PO-5105,KAL-BCH-12,kale,30,cases,,14.2
PO-5106,ROM-ICE-24,romaine,16,cases,,18.4
PO-5107,CAR-BAG-50,carrots,20,cases,,12.0
PO-5108,ONI-SK-50,onions,48,cases,,11.5
PO-5109,KAL-BCH-12,kale,20,cases,,14.2
PO-5110,PEP-BLST-20,peppers,60,cases,,21.2
PO-5110,KAL-BCH-12,kale,20,cases,,14.2
PO-5111,SPI-BCH-24,spinach,16,cases,,16.5
PO-5112,GBN-CTN-20,green beans,20,cases,,18.2
PO-5113,ROM-ICE-24,romaine,40,cases,,18.4
PO-5114,STR-CLAM-12,strawberries,24,cases,,22.1
PO-5115,TOM-VINE-25,tomatoes,30,cases,,19.8
PO-5116,SPI-BCH-24,spinach,50,cases,,16.5
PO-5116,ASP-BCH-11,asparagus,60,cases,,29.0
PO-5117,LET-BIB-12,lettuce,30,cases,,15.7
PO-5118,GBN-CTN-20,green beans,12,cases,,18.2
PO-5119,ROM-ICE-24,romaine,16,cases,,18.4
PO-5120,ROM-ICE-24,romaine,50,cases,,18.4
PO-5121,POT-RUS-50,potatoes,60,cases,,10.8
PO-5122,CUC-CTN-24,cucumbers,50,cases,,14.8
PO-5123,BRO-CRN-20,broccoli,20,cases,,17.6
PO-5124,PEP-BLST-20,peppers,60,cases,,21.2
PO-5125,AVO-CS-48,avocado,50,cases,,31.0
PO-5126,ROM-ICE-24,romaine,24,cases,,18.4
PO-5127,KAL-BCH-12,kale,40,cases,,14.2
PO-5127,STR-CLAM-12,strawberries,50,cases,,22.1
PO-5128,TOM-VINE-25,tomatoes,30,cases,,19.8
PO-5129,ORG-CTN-40,oranges,60,cases,,18.0
PO-5130,ROM-ICE-24,romaine,40,cases,,18.4
PO-5131,LMN-CTN-40,lemons,40,cases,,20.4
PO-5132,ROM-ICE-24,romaine,48,cases,,18.4
PO-5133,KAL-BCH-12,kale,30,cases,,14.2
PO-5133,TOM-VINE-25,tomatoes,48,cases,,19.8
PO-5134,TOM-VINE-25,tomatoes,12,cases,,19.8
PO-5135,HRB-MIX-12,herbs,20,cases,,26.0
PO-5136,BRO-CRN-20,broccoli,20,cases,,17.6
PO-5137,SPI-BCH-24,spinach,30,cases,,16.5
PO-5138,LET-BIB-12,lettuce,50,cases,,15.7
PO-5138,ORG-CTN-40,oranges,30,cases,,18.0
PO-5139,CAU-HD-12,cauliflower,50,cases,,17.0
PO-5140,BLU-FLAT-12,blueberries,30,cases,,28.4
PO-5140,ONI-SK-50,onions,20,cases,,11.5
PO-5141,ROM-ICE-24,romaine,60,cases,,18.4
PO-5142,AVO-CS-48,avocado,50,cases,,31.0
PO-5142,BRO-CRN-20,broccoli,20,cases,,17.6
PO-5143,SQU-YLW-20,squash,60,cases,,13.8
PO-5143,TOM-VINE-25,tomatoes,12,cases,,19.8
PO-5144,HRB-MIX-12,herbs,60,cases,,26.0
PO-5145,CEL-BCH-30,celery,60,cases,,13.4
PO-5146,CEL-BCH-30,celery,40,cases,,13.4
PO-5147,LET-BIB-12,lettuce,48,cases,,15.7
PO-5148,SPI-BCH-24,spinach,24,cases,,16.5
PO-5149,ICE-HD-24,iceberg,24,cases,,15.1
PO-5150,ROM-ICE-24,romaine,40,cases,,18.4
PO-5151,ROM-ICE-24,romaine,12,cases,,18.4
PO-5152,BET-BCH-20,beets,40,cases,,13.2
PO-5153,ROM-ICE-24,romaine,48,cases,,18.4
PO-5154,ICE-HD-24,iceberg,50,cases,,15.1
PO-5154,BLU-FLAT-12,blueberries,16,cases,,28.4
PO-5155,AVO-CS-48,avocado,60,cases,,31.0
PO-5156,ORG-CTN-40,oranges,16,cases,,18.0
PO-5157,KAL-BCH-12,kale,20,cases,,14.2
PO-5158,KAL-BCH-12,kale,50,cases,,14.2
PO-5158,TOM-VINE-25,tomatoes,60,cases,,19.8
PO-5159,SPI-BCH-24,spinach,40,cases,,16.5
PO-5160,ROM-ICE-24,romaine,40,cases,,18.4
PO-5161,CEL-BCH-30,celery,50,cases,,13.4
PO-5162,CAR-BAG-50,carrots,20,cases,,12.0
PO-5163,STR-CLAM-12,strawberries,16,cases,,22.1
PO-5164,ICE-HD-24,iceberg,50,cases,,15.1
PO-5165,KAL-BCH-12,kale,20,cases,,14.2
PO-5166,ZUC-CS-20,zucchini,30,cases,,14.1
PO-5167,LIM-CTN-40,limes,30,cases,,19.1
PO-5168,BET-BCH-20,beets,30,cases,,13.2
PO-5169,HRB-MIX-12,herbs,20,cases,,26.0
PO-5170,CRN-EAR-48,corn,24,cases,,16.0
PO-5171,CEL-BCH-30,celery,24,cases,,13.4
PO-5171,ROM-ICE-24,romaine,60,cases,,18.4
PO-5172,PEP-BLST-20,peppers,20,cases,,21.2
PO-5173,GBN-CTN-20,green beans,50,cases,,18.2
PO-5174,STR-CLAM-12,strawberries,12,cases,,22.1
PO-5175,AVO-CS-48,avocado,50,cases,,31.0
PO-5176,BRO-CRN-20,broccoli,16,cases,,17.6
PO-5176,SPI-BCH-24,spinach,60,cases,,16.5
PO-5177,ZUC-CS-20,zucchini,40,cases,,14.1
PO-5178,KAL-BCH-12,kale,30,cases,,14.2
PO-5178,CEL-BCH-30,celery,48,cases,,13.4
PO-5179,BET-BCH-20,beets,12,cases,,13.2
PO-5180,POT-RUS-50,potatoes,12,cases,,10.8
PO-5181,STR-CLAM-12,strawberries,60,cases,,22.1
PO-5182,STR-CLAM-12,strawberries,20,cases,,22.1
PO-5183,ICE-HD-24,iceberg,60,cases,,15.1
PO-5184,BLU-FLAT-12,blueberries,40,cases,,28.4
PO-5185,ROM-ICE-24,romaine,40,cases,,18.4
PO-5186,BLU-FLAT-12,blueberries,12,cases,,28.4
PO-5186,ROM-ICE-24,romaine,48,cases,,18.4
PO-5187,AVO-CS-48,avocado,12,cases,,31.0
PO-5188,ROM-ICE-24,romaine,16,cases,,18.4
PO-5189,CUC-CTN-24,cucumbers,48,cases,,14.8
PO-5190,PEP-BLST-20,peppers,60,cases,,21.2
PO-5191,ROM-ICE-24,romaine,24,cases,,18.4
PO-5192,BLU-FLAT-12,blueberries,24,cases,,28.4
PO-5193,ROM-ICE-24,romaine,48,cases,,18.4
PO-5194,CAR-BAG-50,carrots,50,cases,,12.0
PO-5194,PEP-BLST-20,peppers,12,cases,,21.2
PO-5195,LET-BIB-12,lettuce,20,cases,,15.7
PO-5196,CAR-BAG-50,carrots,40,cases,,12.0
PO-5197,ROM-ICE-24,romaine,20,cases,,18.4
PO-5198,PEP-BLST-20,peppers,60,cases,,21.2
PO-5199,ICE-HD-24,iceberg,24,cases,,15.1
PO-5200,ROM-ICE-24,romaine,24,cases,,18.4
PO-5201,POT-RUS-50,potatoes,24,cases,,10.8
PO-5201,SPI-BCH-24,spinach,12,cases,,16.5
PO-5202,STR-CLAM-12,strawberries,40,cases,,22.1
PO-5203,ORG-CTN-40,oranges,50,cases,,18.0
PO-5203,ONI-SK-50,onions,24,cases,,11.5
PO-5204,CUC-CTN-24,cucumbers,30,cases,,14.8
PO-5205,SQU-YLW-20,squash,24,cases,,13.8
PO-5206,SPI-BCH-24,spinach,48,cases,,16.5
PO-5206,ROM-ICE-24,romaine,40,cases,,18.4
PO-5207,KAL-BCH-12,kale,50,cases,,14.2
PO-5208,POT-RUS-50,potatoes,50,cases,,10.8
PO-5209,MSH-CTN-10,mushrooms,12,cases,,24.5
PO-5209,ROM-ICE-24,romaine,24,cases,,18.4
PO-5210,BET-BCH-20,beets,50,cases,,13.2
PO-5211,POT-RUS-50,potatoes,60,cases,,10.8
PO-5211,ROM-ICE-24,romaine,48,cases,,18.4
PO-5212,SPI-BCH-24,spinach,40,cases,,16.5
PO-5213,ORG-CTN-40,oranges,24,cases,,18.0
PO-5214,ROM-ICE-24,romaine,48,cases,,18.4
PO-5215,MSH-CTN-10,mushrooms,40,cases,,24.5
PO-5215,LIM-CTN-40,limes,16,cases,,19.1
PO-5216,ICE-HD-24,iceberg,12,cases,,15.1
PO-5217,BET-BCH-20,beets,40,cases,,13.2
PO-5217,LMN-CTN-40,lemons,20,cases,,20.4
PO-5218,AVO-CS-48,avocado,60,cases,,31.0
PO-5219,ICE-HD-24,iceberg,40,cases,,15.1
PO-5220,HRB-MIX-12,herbs,48,cases,,26.0
PO-5221,BRO-CRN-20,broccoli,48,cases,,17.6
PO-5222,STR-CLAM-12,strawberries,16,cases,,22.1
PO-5223,SPI-BCH-24,spinach,16,cases,,16.5
PO-5224,ROM-ICE-24,romaine,48,cases,,18.4
PO-5224,BRO-CRN-20,broccoli,60,cases,,17.6
PO-5225,KAL-BCH-12,kale,48,cases,,14.2
PO-5226,LIM-CTN-40,limes,60,cases,,19.1
PO-5227,STR-CLAM-12,strawberries,30,cases,,22.1
PO-5227,SPI-BCH-24,spinach,16,cases,,16.5
PO-5228,TOM-VINE-25,tomatoes,20,cases,,19.8
PO-5229,KAL-BCH-12,kale,40,cases,,14.2
PO-5230,CAR-BAG-50,carrots,24,cases,,12.0
PO-5231,LMN-CTN-40,lemons,24,cases,,20.4
PO-5232,STR-CLAM-12,strawberries,60,cases,,22.1
PO-5233,STR-CLAM-12,strawberries,30,cases,,22.1
PO-5234,CEL-BCH-30,celery,24,cases,,13.4
PO-5235,CAR-BAG-50,carrots,48,cases,,12.0
PO-5236,RAD-BCH-24,radish,16,cases,,11.9
PO-5237,CUC-CTN-24,cucumbers,48,cases,,14.8
PO-5238,CRN-EAR-48,corn,60,cases,,16.0
PO-5239,CAR-BAG-50,carrots,60,cases,,12.0
PO-5240,ROM-ICE-24,romaine,20,cases,,18.4
PO-5241,ROM-ICE-24,romaine,50,cases,,18.4
PO-5242,CUC-CTN-24,cucumbers,20,cases,,14.8
PO-5243,STR-CLAM-12,strawberries,48,cases,,22.1
PO-5244,GBN-CTN-20,green beans,50,cases,,18.2
PO-5245,ONI-SK-50,onions,16,cases,,11.5
PO-5246,ROM-ICE-24,romaine,50,cases,,18.4
PO-5247,KAL-BCH-12,kale,50,cases,,14.2
PO-5248,PEP-BLST-20,peppers,40,cases,,21.2
PO-5249,AVO-CS-48,avocado,20,cases,,31.0
PO-5250,BET-BCH-20,beets,20,cases,,13.2
PO-5251,ASP-BCH-11,asparagus,12,cases,,29.0
PO-5252,AVO-CS-48,avocado,50,cases,,31.0
PO-5253,SPI-BCH-24,spinach,60,cases,,16.5
PO-5254,ROM-ICE-24,romaine,16,cases,,18.4
PO-5255,TOM-VINE-25,tomatoes,24,cases,,19.8
PO-5256,ROM-ICE-24,romaine,30,cases,,18.4
PO-5257,STR-CLAM-12,strawberries,40,cases,,22.1
PO-5258,BLU-FLAT-12,blueberries,60,cases,,28.4
PO-5259,BLU-FLAT-12,blueberries,16,cases,,28.4
PO-5260,ROM-ICE-24,romaine,20,cases,,18.4
PO-5261,CEL-BCH-30,celery,48,cases,,13.4
PO-5261,TOM-VINE-25,tomatoes,16,cases,,19.8
PO-5262,ICE-HD-24,iceberg,12,cases,,15.1
PO-5263,CAB-GRN-20,cabbage,48,cases,,12.9
PO-5264,BRO-CRN-20,broccoli,50,cases,,17.6
PO-5265,TOM-VINE-25,tomatoes,16,cases,,19.8
PO-5266,GBN-CTN-20,green beans,30,cases,,18.2
PO-5267,KAL-BCH-12,kale,20,cases,,14.2
PO-5268,ROM-ICE-24,romaine,16,cases,,18.4
PO-5269,ROM-ICE-24,romaine,40,cases,,18.4
PO-5270,ROM-ICE-24,romaine,40,cases,,18.4
PO-5271,PEP-BLST-20,peppers,16,cases,,21.2
PO-5272,CRN-EAR-48,corn,48,cases,,16.0
PO-5273,ROM-ICE-24,romaine,48,cases,,18.4
PO-5273,SPI-BCH-24,spinach,20,cases,,16.5
PO-5274,LET-BIB-12,lettuce,12,cases,,15.7
PO-5275,SPI-BCH-24,spinach,12,cases,,16.5
PO-5276,GBN-CTN-20,green beans,12,cases,,18.2
PO-5276,BET-BCH-20,beets,20,cases,,13.2
PO-5277,ICE-HD-24,iceberg,16,cases,,15.1
PO-5278,AVO-CS-48,avocado,30,cases,,31.0
PO-5279,BLU-FLAT-12,blueberries,20,cases,,28.4
PO-5279,ROM-ICE-24,romaine,16,cases,,18.4
PO-5280,CEL-BCH-30,celery,16,cases,,13.4
PO-5281,TOM-VINE-25,tomatoes,50,cases,,19.8
PO-5281,CAR-BAG-50,carrots,30,cases,,12.0
PO-5282,ROM-ICE-24,romaine,50,cases,,18.4
PO-5282,BLU-FLAT-12,blueberries,30,cases,,28.4
PO-5283,ROM-ICE-24,romaine,48,cases,,18.4
PO-5284,TOM-VINE-25,tomatoes,40,cases,,19.8
PO-5284,ICE-HD-24,iceberg,20,cases,,15.1
PO-5285,STR-CLAM-12,strawberries,60,cases,,22.1
PO-5286,ROM-ICE-24,romaine,12,cases,,18.4
PO-5287,AVO-CS-48,avocado,40,cases,,31.0
PO-5288,STR-CLAM-12,strawberries,60,cases,,22.1
PO-5289,SPI-BCH-24,spinach,16,cases,,16.5
PO-5290,STR-CLAM-12,strawberries,40,cases,,22.1
PO-5291,LET-BIB-12,lettuce,24,cases,,15.7
PO-5292,GBN-CTN-20,green beans,40,cases,,18.2
PO-5293,BLU-FLAT-12,blueberries,24,cases,,28.4
PO-5293,ICE-HD-24,iceberg,12,cases,,15.1
PO-5294,CAU-HD-12,cauliflower,50,cases,,17.0
PO-5295,ROM-ICE-24,romaine,20,cases,,18.4
PO-5296,POT-RUS-50,potatoes,40,cases,,10.8
PO-5297,ROM-ICE-24,romaine,50,cases,,18.4
PO-5297,SPI-BCH-24,spinach,16,cases,,16.5
PO-5298,ROM-ICE-24,romaine,20,cases,,18.4
PO-5299,KAL-BCH-12,kale,16,cases,,14.2
PO-5300,ORG-CTN-40,oranges,12,cases,,18.0
PO-5301,ZUC-CS-20,zucchini,20,cases,,14.1
PO-5302,AVO-CS-48,avocado,16,cases,,31.0
PO-5303,CUC-CTN-24,cucumbers,20,cases,,14.8
PO-5304,ROM-ICE-24,romaine,48,cases,,18.4
PO-5305,STR-CLAM-12,strawberries,30,cases,,22.1
PO-5306,ICE-HD-24,iceberg,60,cases,,15.1
PO-5307,CAB-GRN-20,cabbage,24,cases,,12.9
PO-5308,BRO-CRN-20,broccoli,40,cases,,17.6
PO-5309,LET-BIB-12,lettuce,12,cases,,15.7
PO-5310,CUC-CTN-24,cucumbers,30,cases,,14.8
PO-5310,ZUC-CS-20,zucchini,12,cases,,14.1
PO-5311,CAR-BAG-50,carrots,40,cases,,12.0
PO-5312,HRB-MIX-12,herbs,50,cases,,26.0
PO-5312,SPI-BCH-24,spinach,50,cases,,16.5
PO-5313,KAL-BCH-12,kale,24,cases,,14.2
PO-5314,ROM-ICE-24,romaine,20,cases,,18.4
PO-5314,MSH-CTN-10,mushrooms,40,cases,,24.5
PO-5315,KAL-BCH-12,kale,20,cases,,14.2
PO-5316,BET-BCH-20,beets,40,cases,,13.2
PO-5317,ROM-ICE-24,romaine,12,cases,,18.4
PO-5318,CAR-BAG-50,carrots,24,cases,,12.0
PO-5318,ROM-ICE-24,romaine,16,cases,,18.4
PO-5319,PEP-BLST-20,peppers,40,cases,,21.2
PO-5320,ROM-ICE-24,romaine,12,cases,,18.4
PO-5321,KAL-BCH-12,kale,48,cases,,14.2
PO-5322,TOM-VINE-25,tomatoes,12,cases,,19.8
PO-5323,STR-CLAM-12,strawberries,16,cases,,22.1
PO-5324,CUC-CTN-24,cucumbers,48,cases,,14.8
PO-5325,POT-RUS-50,potatoes,60,cases,,10.8
PO-5326,MSH-CTN-10,mushrooms,20,cases,,24.5
PO-5327,ICE-HD-24,iceberg,16,cases,,15.1
PO-5328,SPI-BCH-24,spinach,48,cases,,16.5
PO-5329,KAL-BCH-12,kale,48,cases,,14.2
PO-5330,BRO-CRN-20,broccoli,20,cases,,17.6
PO-5331,CAR-BAG-50,carrots,60,cases,,12.0
PO-5332,BET-BCH-20,beets,24,cases,,13.2
PO-5333,CAU-HD-12,cauliflower,20,cases,,17.0
PO-5334,ZUC-CS-20,zucchini,20,cases,,14.1
PO-5335,CAR-BAG-50,carrots,40,cases,,12.0
PO-5335,ROM-ICE-24,romaine,60,cases,,18.4
PO-5336,CEL-BCH-30,celery,60,cases,,13.4
PO-5337,BET-BCH-20,beets,16,cases,,13.2
PO-5338,SPI-BCH-24,spinach,50,cases,,16.5
PO-5339,PEP-BLST-20,peppers,48,cases,,21.2
PO-5340,RAD-BCH-24,radish,40,cases,,11.9
PO-5341,PEP-BLST-20,peppers,24,cases,,21.2
PO-5342,AVO-CS-48,avocado,16,cases,,31.0
PO-5343,ASP-BCH-11,asparagus,12,cases,,29.0
PO-5344,MSH-CTN-10,mushrooms,12,cases,,24.5
PO-5344,STR-CLAM-12,strawberries,24,cases,,22.1
PO-5345,KAL-BCH-12,kale,50,cases,,14.2
PO-5346,CAR-BAG-50,carrots,20,cases,,12.0
PO-5347,PEP-BLST-20,peppers,30,cases,,21.2
PO-5348,CUC-CTN-24,cucumbers,24,cases,,14.8
PO-5349,RAD-BCH-24,radish,20,cases,,11.9
PO-5349,CAB-GRN-20,cabbage,24,cases,,12.9
PO-5350,AVO-CS-48,avocado,48,cases,,31.0
PO-5351,AVO-CS-48,avocado,16,cases,,31.0
PO-5352,CAR-BAG-50,carrots,30,cases,,12.0
PO-5353,SPI-BCH-24,spinach,30,cases,,16.5
PO-5354,KAL-BCH-12,kale,20,cases,,14.2
PO-5355,POT-RUS-50,potatoes,24,cases,,10.8
PO-5356,PEP-BLST-20,peppers,60,cases,,21.2
PO-5357,TOM-VINE-25,tomatoes,30,cases,,19.8
PO-5358,KAL-BCH-12,kale,30,cases,,14.2
PO-5358,CAB-GRN-20,cabbage,40,cases,,12.9
PO-5359,CEL-BCH-30,celery,16,cases,,13.4
PO-5359,GBN-CTN-20,green beans,60,cases,,18.2
PO-5360,ROM-ICE-24,romaine,24,cases,,18.4
PO-5361,ASP-BCH-11,asparagus,20,cases,,29.0
PO-5361,KAL-BCH-12,kale,20,cases,,14.2
PO-5362,STR-CLAM-12,strawberries,16,cases,,22.1
PO-5363,ROM-ICE-24,romaine,24,cases,,18.4
PO-5364,PEP-BLST-20,peppers,24,cases,,21.2
PO-5365,STR-CLAM-12,strawberries,12,cases,,22.1
PO-5366,GBN-CTN-20,green beans,20,cases,,18.2
PO-5367,RAD-BCH-24,radish,48,cases,,11.9
PO-5368,STR-CLAM-12,strawberries,40,cases,,22.1
PO-5369,CAR-BAG-50,carrots,12,cases,,12.0
PO-5370,AVO-CS-48,avocado,60,cases,,31.0
PO-5371,CUC-CTN-24,cucumbers,60,cases,,14.8
PO-5372,CEL-BCH-30,celery,30,cases,,13.4
PO-5373,LIM-CTN-40,limes,40,cases,,19.1
PO-5374,ICE-HD-24,iceberg,24,cases,,15.1
PO-5375,ROM-ICE-24,romaine,16,cases,,18.4
PO-5376,ORG-CTN-40,oranges,30,cases,,18.0
PO-5377,KAL-BCH-12,kale,40,cases,,14.2
PO-5378,ROM-ICE-24,romaine,20,cases,,18.4
PO-5378,CAU-HD-12,cauliflower,30,cases,,17.0
PO-5379,AVO-CS-48,avocado,50,cases,,31.0
PO-5380,HRB-MIX-12,herbs,20,cases,,26.0
PO-5380,AVO-CS-48,avocado,50,cases,,31.0
PO-5381,ASP-BCH-11,asparagus,20,cases,,29.0
PO-5382,CUC-CTN-24,cucumbers,12,cases,,14.8
PO-5382,BLU-FLAT-12,blueberries,24,cases,,28.4
PO-5383,CUC-CTN-24,cucumbers,24,cases,,14.8
PO-5383,KAL-BCH-12,kale,48,cases,,14.2
PO-5384,BET-BCH-20,beets,60,cases,,13.2
