po_id,supplier,created_at,worker_id,outcome
PO-5129,Fresh Farms,2026-09-07T08:42:56+00:00,W-18,committed
PO-5130,Berry Grove Co,2026-09-08T13:25:41+00:00,W-18,committed
PO-5131,Valley Mist 5,2026-09-07T10:08:27+00:00,W-19,committed
PO-5132,Prairie Lot 5,2026-09-09T11:14:23+00:00,W-19,office_flag
PO-5133,Blue Mesa Farms,2026-09-09T14:01:11+00:00,W-18,committed
PO-5134,Fresh Farms,2026-09-10T09:59:28+00:00,W-18,committed
PO-5135,Red River Produce,2026-09-10T10:27:23+00:00,W-19,flagged_heartbeat
PO-5136,High Desert Growers 2,2026-09-07T09:00:49+00:00,W-18,pending_clarification
PO-5137,Prairie Lot,2026-09-08T13:30:04+00:00,W-19,pending_clarification
PO-5138,Red River Produce,2026-09-07T08:35:31+00:00,W-19,committed
PO-5139,Fresh Farms,2026-09-12T11:11:12+00:00,W-17,flagged
PO-5140,North Fork Cold 2,2026-09-12T15:25:20+00:00,W-19,committed
PO-5141,Blue Mesa Farms 3,2026-09-09T08:02:12+00:00,W-17,committed
PO-5142,Fresh Farms,2026-09-08T13:51:35+00:00,W-17,info_temp
PO-5143,Red River Produce 2,2026-09-10T10:50:29+00:00,W-18,pending_clarification
PO-5144,CoolChain Farms,2026-09-07T08:24:10+00:00,W-19,committed
PO-5145,Pacific Pack 2,2026-09-11T09:08:12+00:00,W-19,committed
PO-5146,Valley Mist 6,2026-09-09T08:26:37+00:00,W-17,flagged_heartbeat
PO-5147,Sunridge Organics 3,2026-09-07T15:05:41+00:00,W-18,committed
PO-5148,Pacific Pack 2,2026-09-10T11:14:56+00:00,W-18,committed
PO-5149,Sierra Packing 2,2026-09-08T10:52:04+00:00,W-17,pending_clarification
PO-5150,CoolChain Farms,2026-09-07T14:21:45+00:00,W-18,committed
PO-5151,Sunridge Organics,2026-09-09T09:43:15+00:00,W-18,committed
PO-5152,High Desert Growers,2026-09-12T14:22:39+00:00,W-17,committed
PO-5153,Sunridge Organics,2026-09-10T11:15:32+00:00,W-18,committed
PO-5154,Berry Grove Co 2,2026-09-09T09:03:13+00:00,W-17,info_temp
PO-5155,Valley Mist,2026-09-07T09:15:46+00:00,W-18,flagged
PO-5156,Red River Produce,2026-09-09T07:37:24+00:00,W-19,committed
PO-5157,Blue Mesa Farms 3,2026-09-12T10:21:23+00:00,W-18,committed
PO-5158,Fresh Farms,2026-09-09T10:25:32+00:00,W-17,committed
PO-5159,Berry Grove Co,2026-09-08T12:13:20+00:00,W-19,info_late
PO-5160,Prairie Lot 2,2026-09-11T11:32:31+00:00,W-18,flagged_item
PO-5161,Harbor Greens 3,2026-09-12T11:58:19+00:00,W-19,committed
PO-5162,Prairie Lot,2026-09-12T13:40:49+00:00,W-17,committed
PO-5163,Coastal Crisp 4,2026-09-10T12:17:49+00:00,W-17,committed
PO-5164,Fresh Farms,2026-09-07T09:40:26+00:00,W-19,committed
PO-5165,Harbor Greens,2026-09-10T11:25:13+00:00,W-19,committed
PO-5166,Valley Mist,2026-09-12T09:55:34+00:00,W-19,committed
PO-5167,GreenLeaf Produce,2026-09-09T15:10:15+00:00,W-18,committed
PO-5168,North Fork Cold,2026-09-10T12:53:45+00:00,W-18,committed
PO-5169,Pacific Pack,2026-09-07T12:46:34+00:00,W-18,committed
PO-5170,Fresh Farms,2026-09-07T15:09:45+00:00,W-18,committed
PO-5171,Harbor Greens,2026-09-11T09:18:59+00:00,W-18,committed
PO-5172,High Desert Growers,2026-09-10T07:26:06+00:00,W-19,committed
PO-5173,Berry Grove Co,2026-09-12T15:20:59+00:00,W-19,flagged_heartbeat
PO-5174,North Fork Cold 5,2026-09-08T12:30:03+00:00,W-17,committed
PO-5175,GreenLeaf Produce 6,2026-09-08T14:08:11+00:00,W-17,committed
PO-5176,Prairie Lot 5,2026-09-12T15:12:55+00:00,W-17,info_temp
PO-5177,North Fork Cold 4,2026-09-09T15:00:08+00:00,W-18,flagged_lot
PO-5178,GreenLeaf Produce,2026-09-07T10:54:41+00:00,W-17,pending_clarification
PO-5179,Fresh Farms,2026-09-08T10:25:42+00:00,W-17,committed
PO-5180,GreenLeaf Produce,2026-09-08T10:48:48+00:00,W-18,committed
PO-5181,Fresh Farms,2026-09-10T12:54:15+00:00,W-17,committed
PO-5182,Valley Mist 6,2026-09-10T12:27:58+00:00,W-18,committed
PO-5183,Valley Mist,2026-09-07T13:22:38+00:00,W-19,office_flag
PO-5184,GreenLeaf Produce 2,2026-09-10T12:48:48+00:00,W-17,flagged
PO-5185,Coastal Crisp 5,2026-09-07T14:04:35+00:00,W-17,committed
PO-5186,Fresh Farms 3,2026-09-09T12:48:13+00:00,W-18,committed
PO-5187,North Fork Cold 2,2026-09-09T11:46:29+00:00,W-18,committed
PO-5188,Valley Mist,2026-09-09T07:23:27+00:00,W-17,committed
PO-5189,Sunridge Organics 3,2026-09-07T10:29:11+00:00,W-19,committed
PO-5190,Harbor Greens 4,2026-09-12T10:15:28+00:00,W-18,info_temp
PO-5191,Berry Grove Co,2026-09-10T09:58:07+00:00,W-19,committed
PO-5192,Sunridge Organics,2026-09-10T15:20:19+00:00,W-19,committed
PO-5193,Berry Grove Co,2026-09-09T08:19:17+00:00,W-19,info_late
PO-5194,Fresh Farms,2026-09-11T14:32:56+00:00,W-17,committed
PO-5195,Berry Grove Co,2026-09-10T10:25:28+00:00,W-17,committed
PO-5196,Sierra Packing 5,2026-09-12T08:59:52+00:00,W-19,committed
PO-5197,Sierra Packing,2026-09-08T08:13:42+00:00,W-18,committed
PO-5198,Fresh Farms,2026-09-10T11:44:31+00:00,W-18,committed
PO-5199,CoolChain Farms,2026-09-10T10:29:09+00:00,W-17,flagged_heartbeat
PO-5200,Harbor Greens,2026-09-11T14:48:03+00:00,W-18,committed
PO-5201,Harbor Greens 5,2026-09-07T12:31:05+00:00,W-18,committed
PO-5202,Berry Grove Co 3,2026-09-07T13:29:37+00:00,W-19,committed
PO-5203,CoolChain Farms 6,2026-09-12T07:07:13+00:00,W-19,committed
PO-5204,North Fork Cold 3,2026-09-12T11:42:20+00:00,W-18,flagged
PO-5205,Fresh Farms,2026-09-09T11:14:29+00:00,W-19,info_late
PO-5206,Blue Mesa Farms 4,2026-09-08T07:23:36+00:00,W-19,committed
PO-5207,North Fork Cold,2026-09-08T14:06:15+00:00,W-19,committed
PO-5208,GreenLeaf Produce 3,2026-09-10T10:55:10+00:00,W-18,committed
PO-5209,North Fork Cold 6,2026-09-12T11:37:41+00:00,W-19,pending_clarification
PO-5210,Valley Mist,2026-09-07T11:18:29+00:00,W-19,info_temp
PO-5211,Harbor Greens,2026-09-09T07:03:34+00:00,W-17,committed
PO-5212,Fresh Farms,2026-09-07T07:49:33+00:00,W-17,committed
PO-5213,Red River Produce 6,2026-09-11T07:40:23+00:00,W-18,committed
PO-5214,Coastal Crisp 2,2026-09-10T14:14:05+00:00,W-19,committed
PO-5215,Fresh Farms,2026-09-09T07:28:40+00:00,W-17,committed
PO-5216,Coastal Crisp 5,2026-09-12T08:57:13+00:00,W-19,info_late
PO-5217,Blue Mesa Farms,2026-09-10T09:23:57+00:00,W-19,committed
PO-5218,Harbor Greens,2026-09-12T09:33:10+00:00,W-19,committed
PO-5219,Sierra Packing 3,2026-09-08T13:18:08+00:00,W-19,committed
PO-5220,Fresh Farms,2026-09-07T08:58:53+00:00,W-19,committed
PO-5221,Sunridge Organics 7,2026-09-07T09:19:50+00:00,W-18,committed
PO-5222,Pacific Pack,2026-09-07T11:59:42+00:00,W-19,committed
PO-5223,Red River Produce 3,2026-09-08T10:14:45+00:00,W-17,committed
PO-5224,Valley Mist,2026-09-07T09:37:28+00:00,W-18,committed
PO-5225,Harbor Greens,2026-09-07T07:45:22+00:00,W-19,committed
PO-5226,Fresh Farms,2026-09-08T10:18:49+00:00,W-19,pending_clarification
PO-5227,CoolChain Farms,2026-09-08T08:11:17+00:00,W-18,committed
PO-5228,Valley Mist 2,2026-09-08T09:06:46+00:00,W-19,committed
PO-5229,Coastal Crisp 4,2026-09-07T10:22:21+00:00,W-18,committed
PO-5230,Fresh Farms 7,2026-09-11T14:20:41+00:00,W-17,pending_clarification
PO-5231,GreenLeaf Produce,2026-09-07T10:23:20+00:00,W-19,pending_match
PO-5232,Pacific Pack,2026-09-08T13:58:50+00:00,W-17,committed
PO-5233,Sunridge Organics 6,2026-09-10T11:41:01+00:00,W-18,committed
PO-5234,Blue Mesa Farms 3,2026-09-07T14:14:50+00:00,W-19,committed
PO-5235,Sierra Packing 3,2026-09-10T13:06:27+00:00,W-17,flagged
PO-5236,Harbor Greens 2,2026-09-07T15:15:23+00:00,W-19,quality_damage
PO-5237,High Desert Growers 2,2026-09-10T10:01:10+00:00,W-17,committed
PO-5238,Fresh Farms,2026-09-12T10:40:06+00:00,W-18,committed
PO-5239,Valley Mist,2026-09-10T08:53:28+00:00,W-18,committed
PO-5240,Fresh Farms,2026-09-08T07:12:30+00:00,W-18,committed
PO-5241,Berry Grove Co,2026-09-08T10:53:50+00:00,W-18,committed
PO-5242,Prairie Lot 2,2026-09-07T07:22:51+00:00,W-17,committed
PO-5243,CoolChain Farms,2026-09-09T11:42:10+00:00,W-18,committed
PO-5244,High Desert Growers,2026-09-07T12:27:42+00:00,W-17,flagged_lot
PO-5245,Harbor Greens 2,2026-09-09T10:19:00+00:00,W-17,committed
PO-5246,Berry Grove Co,2026-09-07T14:26:34+00:00,W-18,committed
PO-5247,Pacific Pack,2026-09-12T09:40:38+00:00,W-18,committed
PO-5248,Harbor Greens 3,2026-09-07T12:44:45+00:00,W-19,committed
PO-5249,Valley Mist,2026-09-08T07:59:11+00:00,W-17,committed
PO-5250,Pacific Pack 2,2026-09-08T08:35:31+00:00,W-19,committed
PO-5251,Berry Grove Co,2026-09-07T09:27:08+00:00,W-18,committed
PO-5252,Blue Mesa Farms 6,2026-09-07T13:57:24+00:00,W-19,flagged_item
PO-5253,Fresh Farms,2026-09-09T07:42:36+00:00,W-17,committed
PO-5254,CoolChain Farms 3,2026-09-07T10:54:36+00:00,W-18,committed
PO-5255,Blue Mesa Farms,2026-09-11T14:01:23+00:00,W-17,committed
PO-5256,Pacific Pack 3,2026-09-07T14:04:41+00:00,W-18,committed
PO-5257,Blue Mesa Farms 4,2026-09-11T07:44:28+00:00,W-17,pending_clarification
PO-5258,Berry Grove Co 4,2026-09-10T13:41:13+00:00,W-17,committed
PO-5259,GreenLeaf Produce,2026-09-08T13:00:18+00:00,W-18,flagged_item
PO-5260,Harbor Greens 4,2026-09-12T15:28:17+00:00,W-17,info_late
PO-5261,Red River Produce 2,2026-09-11T13:29:53+00:00,W-18,committed
PO-5262,GreenLeaf Produce 6,2026-09-09T09:22:44+00:00,W-18,committed
PO-5263,Sunridge Organics 2,2026-09-10T10:54:40+00:00,W-18,flagged
PO-5264,CoolChain Farms,2026-09-11T11:13:17+00:00,W-18,info_temp
PO-5265,Fresh Farms,2026-09-11T13:30:03+00:00,W-19,committed
PO-5266,Berry Grove Co,2026-09-09T07:00:27+00:00,W-19,committed
PO-5267,Fresh Farms,2026-09-11T14:28:17+00:00,W-18,committed
PO-5268,Blue Mesa Farms 2,2026-09-08T09:36:46+00:00,W-17,committed
PO-5269,GreenLeaf Produce 2,2026-09-07T07:39:08+00:00,W-19,pending_clarification
PO-5270,Berry Grove Co,2026-09-10T11:04:04+00:00,W-17,committed
PO-5271,Sunridge Organics 3,2026-09-11T08:10:24+00:00,W-17,office_flag
PO-5272,Coastal Crisp,2026-09-07T12:32:10+00:00,W-19,committed
PO-5273,Fresh Farms,2026-09-10T14:20:13+00:00,W-17,flagged
PO-5274,GreenLeaf Produce 2,2026-09-10T09:07:35+00:00,W-19,committed
PO-5275,CoolChain Farms 2,2026-09-11T08:45:33+00:00,W-17,committed
PO-5276,North Fork Cold,2026-09-09T07:57:15+00:00,W-19,committed
PO-5277,Valley Mist,2026-09-11T11:51:26+00:00,W-19,committed
PO-5278,Berry Grove Co,2026-09-09T07:07:16+00:00,W-17,committed
PO-5279,High Desert Growers,2026-09-10T13:32:26+00:00,W-18,committed
PO-5280,Fresh Farms,2026-09-12T15:18:51+00:00,W-18,committed
PO-5281,Berry Grove Co,2026-09-10T13:13:54+00:00,W-17,committed
PO-5282,Fresh Farms,2026-09-10T13:19:11+00:00,W-19,office_flag
PO-5283,GreenLeaf Produce,2026-09-07T13:39:55+00:00,W-17,committed
PO-5284,Berry Grove Co 7,2026-09-09T09:14:45+00:00,W-19,committed
PO-5285,Pacific Pack 5,2026-09-07T13:35:06+00:00,W-19,flagged
PO-5286,Fresh Farms,2026-09-11T07:06:15+00:00,W-18,committed
PO-5287,Coastal Crisp 2,2026-09-11T13:05:47+00:00,W-17,committed
PO-5288,Fresh Farms,2026-09-11T11:52:23+00:00,W-19,info_late
PO-5289,Sunridge Organics,2026-09-12T07:35:56+00:00,W-18,committed
PO-5290,GreenLeaf Produce,2026-09-09T10:08:12+00:00,W-18,committed
PO-5291,North Fork Cold 3,2026-09-12T15:30:49+00:00,W-19,flagged
PO-5292,Blue Mesa Farms,2026-09-12T07:12:14+00:00,W-19,info_late
PO-5293,CoolChain Farms 3,2026-09-10T10:12:54+00:00,W-18,committed
PO-5294,Harbor Greens 5,2026-09-10T07:47:02+00:00,W-19,flagged
PO-5295,GreenLeaf Produce 4,2026-09-07T08:08:40+00:00,W-17,committed
PO-5296,Prairie Lot 5,2026-09-08T14:15:20+00:00,W-18,committed
PO-5297,Fresh Farms,2026-09-08T07:38:12+00:00,W-19,committed
PO-5298,Coastal Crisp,2026-09-08T13:34:13+00:00,W-18,quality_damage
PO-5299,GreenLeaf Produce 2,2026-09-08T13:00:44+00:00,W-17,committed
PO-5300,Fresh Farms,2026-09-12T10:22:32+00:00,W-18,committed
PO-5301,Blue Mesa Farms,2026-09-11T11:44:47+00:00,W-17,committed
PO-5302,Valley Mist 7,2026-09-07T14:05:49+00:00,W-17,committed
PO-5303,Fresh Farms,2026-09-09T14:49:52+00:00,W-17,committed
PO-5304,CoolChain Farms,2026-09-11T14:04:51+00:00,W-17,flagged_item
PO-5305,High Desert Growers,2026-09-09T10:15:43+00:00,W-18,committed
PO-5306,Valley Mist 2,2026-09-11T07:17:39+00:00,W-17,committed
PO-5307,Fresh Farms,2026-09-07T09:23:24+00:00,W-17,pending_clarification
PO-5308,Blue Mesa Farms,2026-09-11T10:03:30+00:00,W-18,pending_match
PO-5309,GreenLeaf Produce 2,2026-09-08T07:13:20+00:00,W-17,committed
PO-5310,Red River Produce 7,2026-09-09T13:32:37+00:00,W-17,committed
PO-5311,Pacific Pack,2026-09-09T15:23:51+00:00,W-17,committed
PO-5312,High Desert Growers 6,2026-09-07T12:58:22+00:00,W-19,committed
PO-5313,Berry Grove Co,2026-09-07T08:59:38+00:00,W-19,committed
PO-5314,Prairie Lot 3,2026-09-08T08:30:58+00:00,W-18,committed
PO-5315,Pacific Pack,2026-09-08T15:02:42+00:00,W-17,flagged
PO-5316,Berry Grove Co,2026-09-12T12:32:20+00:00,W-19,committed
PO-5317,Pacific Pack,2026-09-10T13:57:11+00:00,W-19,committed
PO-5318,Sunridge Organics 7,2026-09-12T10:20:54+00:00,W-19,flagged_heartbeat
PO-5319,GreenLeaf Produce 5,2026-09-12T08:25:40+00:00,W-17,committed
PO-5320,Blue Mesa Farms 2,2026-09-07T08:47:15+00:00,W-18,flagged
PO-5321,GreenLeaf Produce 5,2026-09-09T10:34:10+00:00,W-18,committed
PO-5322,Prairie Lot,2026-09-11T13:43:55+00:00,W-19,committed
PO-5323,Fresh Farms,2026-09-07T09:13:06+00:00,W-17,pending_clarification
PO-5324,North Fork Cold,2026-09-09T12:14:57+00:00,W-17,committed
PO-5325,Berry Grove Co 7,2026-09-07T09:49:13+00:00,W-18,committed
PO-5326,Fresh Farms,2026-09-10T09:32:15+00:00,W-18,committed
PO-5327,GreenLeaf Produce,2026-09-08T10:38:05+00:00,W-19,committed
PO-5328,GreenLeaf Produce 7,2026-09-07T12:26:18+00:00,W-18,committed
PO-5329,Fresh Farms,2026-09-09T12:38:16+00:00,W-19,pending_clarification
PO-5330,Sunridge Organics,2026-09-09T09:14:28+00:00,W-17,flagged_over
PO-5331,Fresh Farms 4,2026-09-07T12:42:22+00:00,W-18,committed
PO-5332,High Desert Growers,2026-09-11T13:59:33+00:00,W-19,committed
